,Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
31,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867305
32,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,26880,26880,0,DSF: 0000867305
33,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,394240,394240,0,DSF: 0000867305
34,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,26880,26880,0,DSF: 0000867305
35,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
36,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
37,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
38,10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
39,10,X368,IN-TECH ACADEMY (M.S. / HIGH S,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/17,1/31/18,,50000,49620,49620,DSF: 0000845056
40,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,Complete,4/30/13,9/13/13,6/21/13,43040,41498,41498,DSF: 0000775984
41,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,Complete,7/17/13,12/18/13,2/3/14,150640,204664,204664,DSF: 0000775984
42,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Construction,In-Progress,4/10/14,10/1/15,,2442520,2294926,1527373,DSF: 0000775984
43,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,"CM, F&E",In-Progress,4/10/14,10/1/15,,172160,473323,473323,DSF: 0000775984
44,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/29/16,10/28/16,1/17/17,6840,22583,22583,DSF: 0000843858
45,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/17/17,7/17/17,4/20/17,25080,59165,59165,DSF: 0000843858
46,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/26/17,4/1/18,,265620,238433,6283,DSF: 0000843858
47,10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/26/17,4/1/18,,243952,213552,12476,DSF: 0000843858
48,10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866411
49,10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,51000,51000,0,DSF: 0000866411
50,10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,748000,748000,0,DSF: 0000866411
51,10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,51000,51000,0,DSF: 0000866411
52,10,X430,KINGSBRIDGE INTERNATIONAL HS -,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,65000,65000,0,DSF: 0000798838
53,10,X430,M.S./H.S. 342 - BRONX,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,6/12/17,DOES,,DOES,161827,161827,DSF: 0000865882
54,10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,Complete,5/20/13,5/20/13,5/20/13,758294,219702,219702,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
55,10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,Complete,5/20/13,10/21/13,11/6/13,3033180,861780,848735,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
56,10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Construction,In-Progress,9/8/14,9/6/18,,56872126,53590274,50017110,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
57,10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,"CM, F&E",In-Progress,9/8/14,9/6/18,,3538709,1715406,1702617,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
58,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,9/16/16,1/20/17,1/25/17,9144,17497,17497,DSF: 0000843859
59,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/25/17,7/25/17,4/20/17,33528,44436,44436,DSF: 0000843859
60,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/15/17,3/11/18,,355094,316535,7533,DSF: 0000843859
61,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/15/17,3/11/18,,266901,228362,17433,DSF: 0000843859
62,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,Complete,1/14/16,5/16/16,4/20/16,0,26643,26643,DSF: 0000822352
63,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,Complete,6/1/16,10/17/16,10/14/16,156000,106569,106569,DSF: 0000822352
64,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,In-Progress,11/7/17,8/3/18,,2288000,1984152,26852,DSF: 0000822352
65,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",In-Progress,11/7/17,8/3/18,,156000,39526,39526,DSF: 0000822352
66,10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,IEH PO18-STAGE ELECTRICAL PANEL,Construction,Complete,10/19/16,IEH,7/1/17,IEH,24240,5192,DSF: 0000043425
67,10,X435,FORDHAM HS FOR THE ARTS - BX,SCA IEH,"IEH PO18-CUSTODIANS TOILET,GIRLS LOCKER RM VESTIBU",Construction,Complete,4/6/17,IEH,8/9/17,IEH,21800,1894,DSF: 0000046168
68,10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,Complete,10/3/12,2/22/13,9/10/13,407835,317409,295273,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
69,10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,Complete,12/18/13,5/21/14,3/10/15,1631340,1136024,978157,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
70,10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Construction,In-Progress,7/7/16,1/2/19,,30587626,28356246,16038131,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
71,10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,"CM, F&E",In-Progress,7/7/16,1/2/19,,1903230,592325,578567,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
72,10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Scope,Complete,11/22/13,3/21/14,3/3/14,60456,61373,61373,DSF: 0000774374
73,10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Design,Complete,3/28/14,9/26/14,9/23/14,241822,269123,259555,DSF: 0000774374
74,10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Construction,PNS,PNS,PNS,PNS,4534167,4534167,37125,DSF: 0000774374
75,10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,282126,282126,41815,DSF: 0000774374
76,10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,10/24/17,2/23/18,11/30/17,12874,1572,1572,DSF: 0000867078
77,10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,11/30/17,5/29/18,,47204,47204,6287,DSF: 0000867078
78,10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,499934,499934,0,DSF: 0000867078
79,10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,170459,170459,457,DSF: 0000867078
80,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,Complete,1/26/15,5/27/15,4/2/15,0,34470,34470,DSF: 0000800078
81,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Design,PNS,PNS,PNS,PNS,13666,191926,0,DSF: 0000800078
82,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,200432,3320479,0,DSF: 0000800078
83,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,13666,226396,0,DSF: 0000800078
84,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Scope,In-Progress,1/26/15,5/27/15,,0,5978,0,DSF: 0000800415
85,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,12000,6022,0,DSF: 0000800415
86,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,176000,176000,0,DSF: 0000800415
87,10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000,0,DSF: 0000800415
88,10,X440,DEWITT CLINTON HS - X,SCA IEH,IEH PO18-BATHROOM #191,Construction,In-Progress,11/27/17,IEH,,IEH,46420,7392,DSF: 0000049508
89,10,X440,DEWITT CLINTON HS - X,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,6/1/17,DOEL,,DOEL,800,0,DSF:
90,10,X440,DEWITT CLINTON HS - X,DOE- RESOA,FY17 RESO A HYDROPONIC CLASSROOM,Construction,In-Progress,7/14/17,DOER,,84515,84515,84515,DSF: 0000845041
91,10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/7/17,DOES,,DOES,170000,606,DSF: 0000866080
92,10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,11/30/17,DOES,,DOES,962300,0,DSF: 0000867029
93,10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Scope,Complete,5/6/15,5/13/15,5/13/15,229175,168448,168448,DSF: 0000822032
94,10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Design,Complete,5/14/15,9/22/15,12/30/15,733360,783855,623316,DSF: 0000822032
95,10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Construction,Complete,3/18/16,9/8/17,9/5/17,10285374,10060052,9878486,DSF: 0000822032
96,10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,"CM, F&E",Complete,3/18/16,9/8/17,9/5/17,1811017,1406947,1339927,DSF: 0000822032
97,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,Complete,1/30/15,6/16/15,5/1/15,134776,41223,41221,"DSF: 0000820291, 0000822171"
98,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,Complete,6/25/15,11/27/15,9/29/15,539100,120430,116692,"DSF: 0000820291, 0000822171"
99,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Construction,In-Progress,7/12/16,7/11/18,,10108126,9180781,6970617,"DSF: 0000820291, 0000822171"
100,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,"CM, F&E",In-Progress,7/12/16,7/11/18,,636575,518837,449797,"DSF: 0000820291, 0000822171"
101,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Scope,Complete,4/7/17,8/8/17,6/13/17,20818,24058,24058,DSF: 0000864171
102,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Design,Complete,7/19/17,12/5/17,12/7/17,83273,102866,96356,DSF: 0000864171
103,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Construction,PNS,PNS,PNS,PNS,1561366,1561366,23938,DSF: 0000864171
104,10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,"CM, F&E",PNS,PNS,PNS,PNS,97152,97152,18765,DSF: 0000864171
105,10,X445,BRONX HS OF SCIENCE - X,SCA IEH,"IEH PO18-ROOMS 029,029B,109,124",Construction,Complete,2/27/17,IEH,7/15/17,IEH,66649,6304,DSF: 0000045438
106,10,X445,BRONX HS OF SCIENCE - X,SCA IEH,IEH PO18-AUDITORIUM,Construction,Complete,7/20/17,IEH,8/4/17,IEH,41408,6724,DSF: 0000047766
107,10,X445,BRONX HS OF SCIENCE - X,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,50000,50000,0,DSF: 0000798839
108,10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,8/28/17,2/15/18,,1156096,1156096,9609,DSF: 0000798176
109,10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,3699508,3699508,38434,DSF: 0000798176
110,10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,51885601,51885601,6917,DSF: 0000798176
111,10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,7306528,7306528,21037,DSF: 0000798176
112,10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Scope,Complete,12/11/17,12/11/17,12/11/17,30000,0,0,DSF: 0000798176
113,10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Design,In-Progress,12/11/17,3/20/18,,110000,110000,0,DSF: 0000798176
114,10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Construction,PNS,PNS,PNS,PNS,1165000,1165000,0,DSF: 0000798176
115,10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,"CM, F&E",PNS,PNS,PNS,PNS,270000,270000,116,DSF: 0000798176
116,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,6/1/12,10/17/12,10/19/12,110940,103978,103978,DSF: 0000753048
117,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,3/27/13,9/26/13,11/8/13,388290,329925,316570,DSF: 0000753048
118,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Construction,Complete,4/7/14,1/26/16,1/30/17,6295845,6201593,5989027,DSF: 0000753048
119,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",Complete,4/7/14,1/26/16,1/30/17,551018,595580,594538,DSF: 0000753048
120,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,Complete,8/19/14,1/7/15,7/27/15,166366,225758,206813,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
121,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,Complete,10/7/15,3/14/16,7/5/16,659453,627318,350802,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
122,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Construction,In-Progress,8/7/17,8/6/19,,11825294,10697123,38572,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
123,10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,"CM, F&E",In-Progress,8/7/17,8/6/19,,854515,54475,54475,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
124,2,M660,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/17,1/15/18,7/6/17,70000,69473,69473,DSF: 0000845312
125,2,M660,SCHOOL OF THE FUTURE - MANHATT,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/6/17,DOES,,DOES,170000,2226,DSF: 0000866013
126,2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,Complete,7/22/08,9/8/08,9/16/08,15000,34136,33979,DSF: 0000622222
127,2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Design,Complete,9/16/08,10/30/08,9/16/08,55000,171391,146190,DSF: 0000622222
128,2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Construction,PNS,PNS,PNS,PNS,582500,582500,0,DSF: 0000622222
129,2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,"CM, F&E",PNS,PNS,PNS,PNS,135000,135000,3259,DSF: 0000622222
130,2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA IEH,IEH PO18-BASEMENT IT OFFICE AND SERVER ROOM,Construction,Complete,8/9/17,IEH,12/23/17,IEH,20623,1526,DSF: 0000048048
131,2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Scope,Complete,1/13/17,5/15/17,2/8/17,0,3174,3174,DSF: 0000800742
132,2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Design,Complete,2/8/17,8/8/17,4/12/17,13360,12760,12760,DSF: 0000800742
133,2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Construction,In-Progress,6/28/17,4/23/18,,195941,127685,3944,DSF: 0000800742
134,2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,"CM, F&E",In-Progress,6/28/17,4/23/18,,90128,99337,11260,DSF: 0000800742
135,2,M807,HARVEY MILK SCHOOL - MANHATTAN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYS,Purch & Install,Complete,6/24/13,12/31/13,9/30/17,DIIX,164632,164632,DSF: 0000776339
136,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866404
137,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,21000,21000,0,DSF: 0000866404
138,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,308000,308000,0,DSF: 0000866404
139,2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,21000,21000,0,DSF: 0000866404
